ID_Appels,Source_revenu_menage,Niveau_education,Situation_menage,Situation_logement,Citoyennete_statut_immigration,Historique_recours_aide_alimentaire,Obtenu_aide_grace_aux_ressources,Apres_combien_jours_demarches,Apres_combien_jours_obtenu_aide,Retourner_aux_ressources_aide,Niveau_satisfaction_globale,Pourquoi_pas_obtenu_aide
98257701,,,,,,,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Lendemain,,,Incapacité à joindre l'organisme
98265264,Aide sociale,Professionnel (DEP),Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  mais moins d'une fois par mois,5,
98268489,Aide sociale,Secondaire,Monoparentale,Marché locatif privé,Résidence permanente,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,,,,Incapacité à joindre l'organisme
98297655,,,,,,,Non  n'a pas obtenu d'aide,,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
98454685,Aide sociale,Secondaire,Multigénérationnel,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  mais moins d'une fois par mois,5,
98562001,Autre,Universitaire - 2e cycle,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Ne les a pas contacté,,,,
98588769,,,,,,,Non  n'a pas obtenu d'aide,Même jour,,,,Incapacité à joindre l'organisme
98681288,Aide sociale,Secondaire,Biparentale,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,2,
98682036,Aide sociale,Secondaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  mais moins d'une fois par mois,4,
98684237,,,,,,,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,,,,Liste d'attente complète
98690479,,,,,,,,,,,,
98697072,Aide sociale,Universitaire - 1er cycle,Cohabitation,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,2,
98720380,Aide sociale,Secondaire,Couple sans enfant,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Ne les a pas contacté,Na pas reçu daide encore,Oui  mais moins d'une fois par mois,,Fermeture de l'organisme
98726111,Aide sociale,Secondaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Non  je n'ai pas été satisfait·e du service,4,
98727668,Aide sociale,Universitaire - 1er cycle,Biparentale,Sans domicile fixe,Demande dasile,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,4,
98739927,Aide sociale,Professionnel (DEP),Cohabitation,Marché locatif privé,Demande dasile,Première fois,Non  n'a pas obtenu d'aide,Même jour,,,,Autres
98766625,Aide sociale,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Après 1 semaine ou plus,Oui  mais moins d'une fois par mois,5,
98767237,Aide sociale,Secondaire,Monoparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Non  je n'ai pas été satisfait·e du service,4,
98820778,Emploi temps partiel,Universitaire - 2e cycle,Cohabitation,Marché locatif privé,Visa temporaire,Minimum une fois par mois depuis le début de la pandémie (mars 2020),En attente  a obtenu un rendez-vous / Waiting  got an appointment,Lendemain,,,,
98859668,,,,,,,,,,,,
99039991,Aucun revenu,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
99046583,Aucun revenu,Universitaire - 3e cycle,Biparentale,Marché locatif privé,Visa temporaire,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,,,,Incapacité à joindre l'organisme
99050596,Aucun revenu,Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Même jour,,,,Incapacité à joindre l'organisme
99059219,,Professionnel (DEP),Monoparentale,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,,Na pas reçu daide encore,,,Autres;Incapacité à joindre l'organisme
99080746,Aide sociale,Secondaire,Cohabitation,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,2,
99128158,Aide sociale,Secondaire,Biparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,,Oui  au moins une fois par mois,5,
99219950,Aide sociale,Secondaire,Multigénérationnel,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Après 2 jours ou plus,Après 2 jours ou plus,Oui  au moins une fois par mois,4,
99230324,Aide sociale,Secondaire,Couple sans enfant,Sans domicile fixe,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
99234234,Aide sociale,Collégial (Technique),Personne célibataire vivant seule,Sans domicile fixe,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Après 2 jours ou plus,Même jour,Oui  au moins une fois par mois,3,
99281359,Aide sociale,Secondaire,Couple sans enfant,Logement subventionné,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Lendemain,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
99310886,Emploi temps partiel,Universitaire - 1er cycle,Personne célibataire vivant seule,Marché locatif privé,Résidence permanente,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
99312440,Aide sociale,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,,Après 1 semaine ou plus,Oui  au moins une fois par mois,3,Service temporairement non disponible
99316199,Aucun revenu,Universitaire - 1er cycle,Biparentale,Logement subventionné,Résidence permanente,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,4,
99317523,,,,,,,Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,,,,,
99325612,Aide sociale,Professionnel (DEP),Monoparentale,Marché locatif privé,Citoyenneté canadienne acquise,Minimum une fois par mois depuis le début de la pandémie (mars 2020),En attente  a obtenu un rendez-vous / Waiting  got an appointment,Lendemain,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
99357802,,,,,,,,,,,,
99374336,Aide sociale,Universitaire - 1er cycle,Couple sans enfant,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,4,Incapacité à joindre l'organisme
99398476,Aide sociale,Secondaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
99503855,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
99533916,Pension de vieillesse,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Lendemain,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
99596997,Aide sociale,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Lendemain,Même jour,Oui  au moins une fois par mois,5,
99669322,Aide sociale,Secondaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Non  je n'ai pas été satisfait·e du service,3,
99761526,Pension de vieillesse,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,,,,
99769650,Aide sociale,Secondaire,Couple sans enfant,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
99773901,,,,,,,,Après 2 jours ou plus,Après 1 semaine ou plus,,,
99803110,Aide sociale,,Monoparentale,Marché locatif privé,Demande dasile,Première fois,Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Après 2 jours ou plus,Après 1 semaine ou plus,,,
99818252,Pension de vieillesse,Universitaire - 1er cycle,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Même jour,Après 1 semaine ou plus,Oui  mais moins d'une fois par mois,5,Incapacité à joindre l'organisme
99819899,Aucun revenu,Secondaire,Personne célibataire vivant seule,Ne souhaite pas répondre,Citoyenneté canadienne acquise,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Après 2 jours ou plus,,,,
99853317,Assurance emploi (chômage),Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Résidence permanente,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
99860108,Aide sociale,Secondaire,Biparentale,Ne souhaite pas répondre,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,3,
99865234,Pension de vieillesse,Universitaire - 1er cycle,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
99866328,Aucun revenu,Professionnel (DEP),Biparentale,Marché locatif privé,Demande dasile,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,Na pas reçu daide encore,,,
99915379,Aide sociale,Secondaire,Multigénérationnel,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  mais moins d'une fois par mois,5,
100041735,,,,,,,,,,,,
100133717,Autre,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Résidence permanente,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
100134909,,,,,,,,,,,,
100138020,Aide sociale,Universitaire - 1er cycle,Multigénérationnel,Marché locatif privé,Demande dasile,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
100138832,Pension de vieillesse,Primaire,Multigénérationnel,Propriétaire,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Après 2 jours ou plus,,,,Incapacité à joindre l'organisme
100163564,Aucun revenu,Secondaire,,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Même jour,,,,Incapacité à joindre l'organisme
100172052,Emploi temps partiel,Collégial (Technique),Cohabitation,Marché locatif privé,Visa temporaire,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Même jour,,,,Incapacité à joindre l'organisme
100172857,Aide sociale,Secondaire,Biparentale,Marché locatif privé,Demande dasile,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Lendemain,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
100181969,Régimes dinvalidité,Universitaire - 1er cycle,Multigénérationnel,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
100209301,Emploi temps plein,Secondaire,Cohabitation,Marché locatif privé,Réfugié-e,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,,,,,
100223458,Aide sociale,Secondaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Service temporairement non disponible
100253243,Aide sociale,Professionnel (DEP),Cohabitation,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Lendemain,Lendemain,Oui  au moins une fois par mois,3,
100313414,Pension de vieillesse,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,3,
100313438,Aide sociale,Ne veut pas répondre,Biparentale,Logement subventionné,Résidence permanente,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,,,,,Incapacité à joindre l'organisme
100359265,Aide sociale,Universitaire - 2e cycle,Personne célibataire vivant seule,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
100365696,Pension de vieillesse,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
100371455,Aucun revenu,Secondaire,Ne souhaite pas répondre,Ne souhaite pas répondre,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Lendemain,Non  je n'ai pas été satisfait·e du service,3,Horaire de service ne convient pas
100404889,Emploi temps partiel,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
100497831,Aide sociale,Secondaire,Cohabitation,Marché locatif privé,Réfugié-e,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,4,
100507496,Allocation familiale,Secondaire,Monoparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Lendemain,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
100528830,Aide sociale,Secondaire,Biparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Lendemain,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Service temporairement non disponible
100592836,Emploi temps plein,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Même jour,,,,Incapacité à joindre l'organisme
100598063,Aide sociale,Professionnel (DEP),Cohabitation,Ne souhaite pas répondre,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
100631606,Aide sociale,Universitaire - 2e cycle,Multigénérationnel,Logement subventionné,Demande dasile,Première fois,,,Après 1 semaine ou plus,,,
100703008,Pension de vieillesse,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Fermeture de l'organisme
100709834,Aide sociale,Secondaire,Monoparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  mais moins d'une fois par mois,5,
100743467,Aide sociale,Secondaire,Biparentale,Logement subventionné,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
100785151,Aide sociale,Primaire,Biparentale,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Lendemain,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
100862159,Aide sociale,Secondaire,Biparentale,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,4,
100863667,Régimes dinvalidité,Universitaire - 1er cycle,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
100886106,Autre,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,,,,
100909842,Aide sociale,Secondaire,Monoparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,4,
100961275,Assurance emploi (chômage),Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Après 2 jours ou plus,Même jour,Oui  au moins une fois par mois,5,
100967484,Aucun revenu,Primaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Même jour,,,,Autres
100971766,Emploi temps partiel,Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
101049312,Régimes dinvalidité,Secondaire,Monoparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,,,,,Incapacité à joindre l'organisme
101060778,Aide sociale,Primaire,Biparentale,Logement subventionné,Demande dasile,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Après 2 jours ou plus,Na pas reçu daide encore,,,
101123118,Aide sociale,Primaire,Biparentale,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Même jour,Oui  au moins une fois par mois,5,
101156583,Emploi temps partiel,,Personne célibataire vivant seule,,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Même jour,,,,Incapacité à joindre l'organisme
101164434,Aide sociale,Universitaire - 1er cycle,Multigénérationnel,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Lendemain,,,,Conditions d'admission non remplies
101252559,Aide sociale,Secondaire,Biparentale,,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Après 2 jours ou plus,Après 2 jours ou plus,Oui  au moins une fois par mois,4,
101284525,Aide sociale,Primaire,Biparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
101286079,Aide sociale,Collégial (Technique),Monoparentale,Marché locatif privé,Résidence permanente,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,4,
101430130,Pension de vieillesse,Secondaire,Biparentale,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,3,
101460686,Aide sociale,Professionnel (DEP),Monoparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
101466874,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Ne les a pas contacté,,,,
101482739,Aide sociale,Professionnel (DEP),Biparentale,Marché locatif privé,Demande dasile,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Lendemain,Après 2 jours ou plus,Oui  au moins une fois par mois,4,
101511679,Aide sociale,Professionnel (DEP),Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Après 2 jours ou plus,Après 2 jours ou plus,Oui  au moins une fois par mois,3,Incapacité à joindre l'organisme
101512949,Aide sociale,Secondaire,Couple sans enfant,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  n'a pas obtenu d'aide,,,,,Incapacité à joindre l'organisme
101515319,Aide sociale,Universitaire - 1er cycle,Monoparentale,Coopérative,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Lendemain,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
101519447,Emploi temps plein,Collégial (Technique),Biparentale,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Même jour,,,,Autres;Incapacité à joindre l'organisme
101519974,,,,,,,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,,Après 2 jours ou plus,,,
101550346,Aide sociale,Secondaire,Biparentale,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Après 1 semaine ou plus,Non  je n'ai pas été satisfait·e du service,2,
101564506,Aucun revenu,Universitaire - 1er cycle,Monoparentale,Sans domicile fixe,Visa temporaire,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  mais moins d'une fois par mois,5,
101565363,Aide sociale,Secondaire,Monoparentale,Marché locatif privé,Demande dasile,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Après 2 jours ou plus,,,,Barrière linguistique
101570119,,,,,,,,,,,,
101570890,Aucun revenu,Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Résidence permanente,Première fois,Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Ne les a pas contacté,,,,
101593968,Aide sociale,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
101595541,Aucun revenu,Universitaire - 1er cycle,Biparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,,,Oui  mais moins d'une fois par mois,,
101595810,Aide sociale,Professionnel (DEP),Biparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Après 2 jours ou plus,Lendemain,Oui  au moins une fois par mois,5,
101595861,Emploi temps plein,Universitaire - 1er cycle,Personne célibataire vivant seule,Marché locatif privé,Visa temporaire,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  mais moins d'une fois par mois,5,
101595969,Emploi temps plein,Secondaire,Biparentale,Marché locatif privé,Résidence permanente,Première fois,En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
101600440,Aide sociale,Professionnel (DEP),Biparentale,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
101601762,Aide sociale,Primaire,Couple sans enfant,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Après 2 jours ou plus,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
101659619,Aucun revenu,Universitaire - 1er cycle,Biparentale,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Même jour,Après 1 semaine ou plus,Non  je n'ai pas été satisfait·e du service,3,Incapacité à joindre l'organisme
