,business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y
38634,121227,FOYER DU LIBAN (EGLISE ORTHODOXE D'ANTIOCHE DE LA VIERGE MARIE),120   Boulevard Gouin Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200911,45.552739,-73.673737,291235.12,5045884.32
38635,121228,GAP-VIES,3330   Rue Jarry Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200130,45.564765,-73.608675,296316.75,5047211.8
38651,121278,PAVILLON DE LA SAVANE,5111   Rue Paré ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200129,45.498387,-73.652564,292876.72,5039840.74
38972,121597,LA MAISON D'AURORE,4816   Rue Garnier ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200316,45.533053,-73.581247,298454.22,5043685.03
39034,122008,"HIRONDELLE, SERVICES D'ACCUEIL ET D'INTEGRATION DES IMMIGRANTS",2349   Rue Rouen ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200619,45.532633,-73.558111,300261.23,5043636.84
39192,120336,PARRAINAGE CIVIQUE DE LA BANLIEUE OUEST DE MONTREAL,68   Avenue Prince-Edward ,Pointe-Claire,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200128,45.454413,-73.792168,281948.57,5034984.07
39193,120337,PREMIERE EGLISE EVANGELIQUE ARMENIENNE DE MONTREAL,11455   Rue Drouart ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200205,45.536406,-73.687543,290152.88,5044071.57
39194,120338,P.R.I.S.E II,10794  204 Rue Lajeunesse ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190722,45.555715,-73.670023,291525.75,5046214.39
39315,118068,CENTRE NAHA,5995   Rue Hochelaga ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20180821,45.573182,-73.535849,302002.06,5048142.08
39409,119971,AIDS COMMUNITY CARE MONTREAL (ACCM),2075   Rue Plessis ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190925,45.524154,-73.562128,299946.76,5042694.82
39657,120924,ATELIER 850,850  102 Rue Seigneurs ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200825,45.490165,-73.5742,299000.26,5038918.42
39658,120925,LE FOYER DE JEUNES TRAVAILLEURS ET TRAVAILLEUSES DE MONTRÉAL (FJTTM),2650  110 Rue Davidson ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201019,45.54571,-73.55523,300487.26,5045089.92
39659,120926,ÉGLISE DE LA PENTECÔTE BIBLE-WAY,2390   Rue Coursol ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200825,45.486526,-73.578162,298690.2,5038514.25
39660,120930,CENTRE D'ENCADREMENT POUR JEUNES FEMMES IMMIGRANTES (CEJFI),1775   Boulevard Edouard-Laurin ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200630,45.510212,-73.686042,290263.4,5041160.31
39708,121225,CENTRE D'ENTRAIDE AUX FAMILLES (CEAF),12229   Avenue Charles-Renard ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200731,45.637568,-73.592339,297601.29,5055300.98
39766,121042,CENTRE DU PLATEAU,2275   Boulevard Saint-Joseph Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200831,45.539517,-73.575437,298908.69,5044403.02
39767,121043,CLIC DU NORD-EST DE MONTREAL,7995  200 Avenue Blaise-Pascal ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200921,45.628961,-73.587063,298011.54,5054343.95
39769,121060,EGLISE DU NAZAREEN,11025   Avenue Massé ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200731,45.603854,-73.614162,295894.65,5051556.43
39774,105860,LES JUMELEURS / ESPACE COMMUNAUTAIRE,2590   Rue Jarry Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20140402,45.560621,-73.612414,296024.26,5046751.72
39786,121260,CADFEM,1321   Boulevard Saint-Jean-Baptiste ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201202,45.64199,-73.502434,304610.27,5055788.25
39829,121039,RESEAU ENTRAIDE LA MAIN QUI PARTAGE,1677   Rue Galt ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191213,45.462732,-73.586014,298073.55,5035870.7
39832,121062,FONDATIONS DU QUARTIER,8357   Rue Labarre ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191217,45.501939,-73.6606,292249.48,5040236.7
39834,121065,PROJET HARMONIE,6185   Rue Du Quesne ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200706,45.581863,-73.559537,300153.88,5049107.96
39835,121066,REGROUPEMENT ENTRE-MAMANS ET PAPAS,3363  1 Rue Rouen ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200813,45.543717,-73.549756,300914.56,5044868.16
39836,121090,MARCHE BON ACCUEIL,4755   Rue Acorn ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200107,45.473337,-73.590706,297707.96,5037049.62
40033,120838,CENTRE COMMUNAUTAIRE RESTAURATION,3747   Rue Berri ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191122,45.520048,-73.571129,299243.22,5042239.05
40038,120935,CENTRE D'AIDE NOUVEAU DEPART,4506   Rue Bélanger ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200820,45.569113,-73.583716,298265.57,5047692.68
40040,121078,HEBERJEUNE DE PARC EXTENSION,910   Rue Jarry Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200803,45.54697,-73.62578,,
40041,121079,"HIRONDELLE, SERVICES D'ACCUEIL ET D'INTEGRATION DES IMMIGRANTS",4652   Rue Jeanne-Mance ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191219,45.51845,-73.590758,297709.53,5042063.08
40042,121080,SCIENTIFINES,525  200 Rue Dominion ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200708,45.484223,-73.573216,299076.53,5038257.94
40134,121763,LA CHAPELLE J'AIME MONTREAL,160   Rue Saint-Viateur Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200506,45.527149,-73.59779,297161.37,5043030.38
40175,120946,MISSION OLD BREWERY,915   Rue Clark ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191125,45.506929,-73.558128,300257.85,5040780.36
40192,121574,CENTRE COMMUNAUTAIRE RESTAURATION VERTICAL,3767   Rue Berri ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200929,45.520193,-73.571447,299218.36,5042255.16
40240,121842,EGLISE EVANGELIQUE BAPTISTE MONTREAL NORD,5900   Boulevard Industriel ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200521,45.603281,-73.614211,295890.75,5051492.78
40298,119969,ACTION SANTE DE POINTE SAINT-CHARLES,2423   Rue Wellington ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191128,45.474236,-73.561504,299991.26,5037147.32
40299,119970,BAOBAB FAMILIAL,6767  599 Chemin Côte-des-Neiges ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190709,45.503028,-73.637026,294091.94,5040354.3
40300,119972,ARCHE MONTREAL,6105   Rue Jogues ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190827,45.456044,-73.60228,296800.56,5035128.89
40332,121750,FRIGO COMMUNAUTAIRE DE L'EST,8365   Rue De Forbin-Janson ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200501,45.600948,-73.534711,302092.18,5051227.7
40333,121751,REGROUP. JEUNESSE EN MARCHE DU QUEBEC,4121   Rue 42e ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201116,45.578817,-73.618641,295541.12,5048774.58
40357,120046,CUISINE ET VIE COLLECTIVES SAINT-ROCH,419  SS02 Rue Saint-Roch ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190702,45.531247,-73.628424,294769.17,5043489.13
40358,120047,SERVICE D'AIDE ET DE LIAISON POUR IMMIGRANTS / LA MAISONNEE,6865   Avenue Christophe-Colomb ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191210,45.540313,-73.607141,296432.9,5044494.25
40367,120088,DOPAMINE,3591   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190617,45.543285,-73.538641,301782.53,5044819.73
40368,120089,MAISON A PETITS PAS,3511   Rue Rouen ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200116,45.545229,-73.548831,300986.93,5045036.17
40369,120098,META D'AME TOXICOMANIE,2250   Rue Florian ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190924,45.538333,-73.553508,300621.16,5044270.01
40387,121930,CERCLE DES FERMIERES (ANJOU),7800   Boulevard Métropolitain Est,Anjou,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201216,45.55887,-73.60285,,
40397,121955,INNOVATION JEUNES,2154   Rue Sainte-Catherine Ouest,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200609,45.490821,-73.582774,298330.15,5038991.9
40427,120094,MAISON DES JEUNES L'ESCAMPETTE,525  100 Rue Dominion ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191217,45.484223,-73.573216,299076.53,5038257.94
40428,120095,MAISON DES JEUNES LE POINT DE MIRE DE VERDUN,3882   Rue Wellington ,Verdun,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190709,45.465198,-73.56679,299577.13,5036143.29
40876,124215,EPICERIE SOLIDAIRE DE ROSEMONT,6178   Avenue 19e ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20211118,45.55907,-73.577063,298783.81,5046576.02
41077,121995,LA TRANSFORMERIE (LES RESCAPES),6651   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200901,45.531627,-73.611609,296082.62,5043529.43
41140,121841,INNOVATION JEUNES,1450  520 Rue City Councillors ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200514,45.504983,-73.568837,299420.81,5040564.77
41143,120944,COMITE CANADA SOINS RELEVE VIE,7655   Avenue 20e ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191213,45.568162,-73.600115,296985.47,5047588.43
41364,121814,VILLA EXPRESS POUR TOI,4655   Rue Euclide-Brien ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200820,45.549941,-73.566674,299594,5045560.79
41409,123450,CENTRE COMMUNAUTAIRE CEFEDI,8546   Boulevard Saint-Michel ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210514,45.567286,-73.617634,295617.83,5047492.96
41430,121594,LA PORTE OUVERTE MONTREAL,3535   Avenue Parc ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200313,45.509929,-73.574622,298969.27,5041114.81
41614,123694,PATRO VILLERAY (CUISINE CENTRALE POPOTE ROULANTE),7355   Avenue Christophe-Colomb ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210908,45.543848,-73.615093,295812.45,5044888.01
41659,122803,BANQUE ALIMENTAIRE CHAPI CHAPO,10420   Rue Louis-Galipeau ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210527,45.661733,-73.556099,300428.42,5057983.85
41791,123748,CENTRE COMMUNAUTAIRE DAWSON,666   Rue Woodland ,Verdun,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210723,45.452554,-73.573237,299071.72,5034738.62
41843,122891,SERVICE D'AIDE COMMUNAUTAIRE ANJOU / CHORRA,7751   Boulevard Louis-H.-La Fontaine ,Anjou,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201217,45.602389,-73.560104,300111.34,5051389.1
41902,122919,L'AMOUR EN ACTION,10201   Avenue Laurentides ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210107,45.581687,-73.638481,293993.36,5049095.94
42063,123888,EGLISE COMMUNAUTAIRE ARMEE DU SALUT,6735   Boulevard Pie-IX ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210920,45.564028,-73.584121,298233.38,5047127.56
42072,122725,ASSOCIATION CULTURELLE HAITIENNE PERLE RETROUVÉE,7655   Avenue 20e ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201116,45.568162,-73.600115,296985.47,5047588.43
42142,9957,LE COMITE SOCIAL CENTRE SUD,1710   Rue Beaudry ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930218,45.520406,-73.559293,300167.91,5042278.05
42173,124109,ADRIANNA ESPACE COLLECTIF,2400   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20211029,45.528378,-73.547017,301127.47,5043163.4
42417,124494,JEUNESSE AU SOLEIL,6700  100 Avenue Parc ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220511,45.528021,-73.615321,295792.1,5043129.07
42645,124127,BUFFET ACCES EMPLOI,5350   Rue Lafond ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220622,45.552591,-73.571677,299203.68,5045855.59
42786,125317,AVENUE DU BIEN-ETRE,8200   Avenue Bloomfield ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220626,45.531418,-73.637943,294025.72,5043509.42
42787,125318,THE RED VAN PROJECT,827   Boulevard Crémazie Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220626,45.549416,-73.634974,294260.97,5045509.13
42788,125319,KUNAL GARJE,827   Boulevard Crémazie Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220626,45.549416,-73.634974,294260.97,5045509.13
42853,125154,EGLISE ST COMBAY BY THE LAKE (CORBEILLE PAIN LSL),11   Avenue Rodney ,Pointe-Claire,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220610,45.45496,-73.783347,282638.74,5035042.44
42854,125155,L'EGLISE PRESBYTERIENNE ST-COLOMBA AU LAC,11   Avenue Rodney ,Pointe-Claire,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220610,45.45496,-73.783347,282638.74,5035042.44
42899,15427,MULTICAF,3591   Avenue Appleton ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20000919,45.502312,-73.634729,294271.32,5040274.4
43148,9850,LA MAISON DU PERE,550   Boulevard René-Lévesque Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930430,45.513975,-73.556955,300350.09,5041563.29
43364,122191,EPICERIE SOLIDAIRE DE L'EST,10123   Avenue Hébert ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200806,45.585605,-73.629658,294682.58,5049530.25
43423,123122,MON RESTO SAINT MICHEL,8550   Allée Léo-Bricault ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200910,45.576938,-73.608642,296321.2,5048564.57
43502,124066,SPHERE DE SERVICES DE L'AEESG (LE BAC ALIMENTAIRE DE L'AEESG),250   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20211108,45.512244,-73.561751,299975.16,5041371.23
43536,123729,EGLISE REFLET DE CHRIST ACPS,7901   Rue Sainte-Claire ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210720,45.593902,-73.528853,302548.88,5050444.55
43602,119989,BETHLEHEM HEALING FOUNTAIN,5738   Boulevard Décarie ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201028,45.4878,-73.638951,293938.63,5038662.21
43731,123038,WEST ISLAND MISSION,219   Avenue Labrosse ,Pointe-Claire,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210901,45.473357,-73.823716,279489.58,5037098.82
43825,119618,MARCHE BON ACCUEIL,5095   Boulevard Henri-Bourassa Est,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190402,45.60337,-73.63014,,
43866,123033,LE PAS DE LA RUE,9605   Rue Hochelaga ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210428,45.610722,-73.515106,303621.78,5052313.47
44077,125011,CENTRE COMMUNAUTAIRE ESPOIR ET SOLIDARITE DE MONTREAL-NORD,10711   Avenue Racette ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220811,45.596376,-73.622667,295229.89,5050726.4
44413,120421,CARREFOUR POPULAIRE DE SAINT-MICHEL,2651   Boulevard Crémazie Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190722,45.559316,-73.610878,296143.95,5046606.51
44632,126368,CENTRE D'APPUI AUX COMMUNAUTÉS IMMIGRANTES - CUISINE(CACI),12049   Boulevard Laurentien ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20221215,45.526593,-73.716634,287878.01,5042986.82
44736,126094,CENTRE DES AINES DE POINTE-SAINT-CHARLES,2401   Rue Mullins ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20221114,45.477657,-73.566061,299635.24,5037527.83
44755,120097,MAISON DU PHARILLON,2410   Rue Nicolet ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191107,45.54829,-73.550083,300889.31,5045376.41
44759,125843,MAISON DES JEUNES DU PLATEAU,5046   Rue Cartier ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220912,45.536347,-73.57984,298564.47,5044051.01
44996,126590,L'OEUVRE DES SAMARITAINS,9300   Rue Lajeunesse ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20230126,45.549481,-73.648438,293209.73,5045518.21
45024,123868,BANQUE ALIMENTAIRE AYLWIN,1487   Rue Aylwin ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210913,45.543091,-73.541342,301571.56,5044798.19
45039,107457,POPOTE ROULANTE DE SAINT-MICHEL,4121   Rue 42e ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20181113,45.578817,-73.618641,295541.12,5048774.58
45079,125910,MAISON PLEIN COEUR,1611   Rue Dorion ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220923,45.52488,-73.554032,300579.25,5042775.03
45101,126798,EGLISE ADVENTISTE DU 7EME JOUR BEER-SCHEBA,3730   Rue Dandurand ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20230306,45.556416,-73.573473,299063.8,5046280.8
45180,6978,LE CENTRE RESSOURCES & ACTION COMMUNAUTAIRE PETITE-PATRIE,6839   Rue Drolet ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040422,45.535762,-73.611281,296108.84,5043988.98
45200,109406,GROUPE D'ENTRAIDE DE MERCIER-OUEST (GEMO),6765   Rue Marseille ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20141030,45.583011,-73.538331,301808.86,5049234.47
45282,1996,RESTAURANT LE CHIC RESTO-POP,1500   Avenue Orléans ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20041029,45.54736,-73.538348,301805.59,5045272.58
45382,118194,MON RESTO ST-MICHEL,8735   Boulevard Pie-IX ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20180914,45.57652,-73.613828,295916.41,5048518.74
45487,119006,L'ESCALE NOTRE-DAME,1475   Avenue Morgan ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190228,45.552036,-73.534776,302084.78,5045792.11
45614,125414,SISTER SABRIA FONDATION,5271   Rue Saint-Hubert ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220817,45.530028,-73.590278,297748.54,5043349.61
45720,125734,REVANOUS,9870   Rue Laverdure ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210901,45.548513,-73.658262,292442.39,5045412.17
45721,125735,CENTRE REVAVENIR,10794   Rue Lajeunesse ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220822,45.555715,-73.670023,291525.75,5046214.39
45856,7535,LA MAISON TANGENTE,1481   Avenue Desjardins ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040615,45.549759,-73.536564,301945.05,5045539.07
45960,126369,CENTRE D'APPUI AUX COMMUNAUTÉS IMMIGRANTES - BISTRO (CACI),12049   Boulevard Laurentien ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20221215,45.526593,-73.716634,287878.01,5042986.82
45961,126370,CENTRE D'APPUI AUX COMMUNAUTÉS IMMIGRANTES - LOCAL DISTRIBUTION (CACI),12049   Boulevard Laurentien ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20221215,45.526593,-73.716634,287878.01,5042986.82
46010,107696,CEDA,2515   Rue Delisle ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20141126,45.483379,-73.577168,298767.49,5038164.5
46121,126716,EGLISE ADVENTISTE DU 7E JOUR,3730   Rue Dandurand ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20230215,45.556416,-73.573473,299063.8,5046280.8
46178,126869,JOJO DEPANNAGE,3887   Rue Adam ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20230307,45.547093,-73.538828,301768.14,5045242.83
46270,126857,CENTRE COMMUNAUTAIRE BON COURAGE,1835   Avenue O'Brien ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20230306,45.523184,-73.692339,289774.82,5042603.13
